No.,Time,Source,Destination,Protocol,Length
183,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,109
184,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,178
185,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,1103
186,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,109
187,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,109
188,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,175
189,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,171
190,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,226
191,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,90
192,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,88
193,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,90
194,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,88
195,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,288
196,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
197,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
198,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
199,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
200,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,125
201,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,134
202,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,144
203,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,106
204,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,104
205,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,189
206,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,147
207,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,103
208,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,90
209,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,90
210,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,90
211,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,90
212,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,103
213,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,90
214,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,106
215,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,151
216,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,313
217,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,245
218,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
219,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,118
220,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,117
221,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
